voir,vois,vois,voit,voyons,voyez,voient
avoir,ai,as,a,avons,avez,ont
vouloir,veux,veux,veut,voulons,voulez,veulent
pouvoir,peux,peux,peut,pouvons,pouvez,peuvent
savoir,sais,sais,sait,savons,savez,savent
devoir,dois,dois,doit,devons,devez,doivent
prendre,prends,prends,prend,prenons,prenez,prennent
être,suis,es,est,sommes,êtes,sont
aller,vais,vas,va,allons,allez,vont
faire,fais,fais,fait,faisons,faites,font
dire,dis,dis,dit,disons,dites,disent
lire,lis,lis,lit,lisons,lisez,lisent
venir,viens,viens,vient,venons,venez,viennent
commencer,commence,commences,commence,commençons,commencez,commencent
acheter,achète,achètes,achète,achetons,achetez,achètent
manger,mange,manges,mange,mangeons,mangez,mangent
écrire,écris,écris,écrit,écrivons,écrivez,écrivent
dormir,dors,dors,dort,dormons,dormez,dorment
offrir,offre,offres,offre,offrons,offrez,offrent
ouvrir,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent
découvrir,découvre,découvres,découvre,découvrons,découvrez,découvrent
sortir,sors,sors,sort,sortons,sortez,sortent
mettre,mets,mets,met,mettons,mettez,mettent
partir,pars,pars,part,partons,partez,partent
lever,lève,lèves,lève,levons,levez,lèvent
espérer,espère,espères,espère,espérons,espérez,espèrent
appeler,appelle,appelles,appelle,appelons,appelez,appellent
jeter,jette,jettes,jette,jetons,jetez,jettent
préférer,préfère,préfères,préfère,préférons,préférez,préfèrent
répéter,répète,répètes,répète,répétons,répétez,répètent
disparaître,disparais,disparais,disparaît,disparaissons,disparaissez,disparaissent
sentir,sens,sens,sent,sentons,sentez,sentent
tenir,tiens,tiens,tient,tenons,tenez,tiennent
boire,bois,bois,boit,buvons,buvez,boivent
conduire,conduis,conduis,conduit,conduisons,conduisez,conduisent
recevoir,reçois,reçois,reçoit,recevons,recevez,reçoivent
apercevoir,aperçois,aperçois,aperçoit,apercevons,apercevez,aperçoivent
plaindre,plains,plains,plaint,plaignons,plaignez,plaignent
croire,crois,crois,croit,croyons,croyez,croient
servir,sers,sers,sert,servons,servez,servent
suivre,suis,suis,suit,suivons,suivez,suivent
asseoir,assois,assois,assoit,assoyons,assoyez,assoient